0,1,2,3,4,5,6,7,8
"('age', 28)","('monthly_income', 5500.0)","('apartment_interest_rate', 4.8)","('down_payment', 25000.0)","('apartment_price', 230000.0)","('loan_term_years', 30)","('monthly_expenses', 2500.0)","('credit_score', 690)","('employment_status', 'Professional Llama Whisperer')"
"('age', 35)","('monthly_income', 7500.0)","('apartment_interest_rate', 4.5)","('down_payment', 30000.0)","('apartment_price', 280000.0)","('loan_term_years', 15)","('monthly_expenses', 3200.0)","('credit_score', 700)","('employment_status', 'Professional Juggling Acrobat')"
"('age', 40)","('monthly_income', 6000.0)","('apartment_interest_rate', 4.2)","('down_payment', 32000.0)","('apartment_price', 270000.0)","('loan_term_years', 25)","('monthly_expenses', 2800.0)","('credit_score', 710)","('employment_status', 'Professional Potato Peeler')"
"('age', 45)","('monthly_income', 6200.0)","('apartment_interest_rate', 4.3)","('down_payment', 28000.0)","('apartment_price', 260000.0)","('loan_term_years', 20)","('monthly_expenses', 3000.0)","('credit_score', 720)","('employment_status', 'Professional Bubble Wrap Popper')"
"('age', 25)","('monthly_income', 5000.0)","('apartment_interest_rate', 4.0)","('down_payment', 25000.0)","('apartment_price', 240000.0)","('loan_term_years', 30)","('monthly_expenses', 2500.0)","('credit_score', 680)","('employment_status', 'Professional Unicorn Whisperer')"
"('age', 35)","('monthly_income', 5500.0)","('apartment_interest_rate', 4.1)","('down_payment', 30000.0)","('apartment_price', 250000.0)","('loan_term_years', 15)","('monthly_expenses', 2700.0)","('credit_score', 700)","('employment_status', 'Professional Tofu Taster')"
"('age', 32)","('monthly_income', 5700.0)","('apartment_interest_rate', 4.2)","('down_payment', 29000.0)","('apartment_price', 255000.0)","('loan_term_years', 25)","('monthly_expenses', 2800.0)","('credit_score', 710)","('employment_status', 'Professional Llama Groomer')"
"('age', 30)","('monthly_income', 6000.0)","('apartment_interest_rate', 4.3)","('down_payment', 28000.0)","('apartment_price', 260000.0)","('loan_term_years', 20)","('monthly_expenses', 2600.0)","('credit_score', 690)","('employment_status', 'Professional Cheese Sculptor')"
"('age', 45)","('monthly_income', 7000.0)","('apartment_interest_rate', 4.5)","('down_payment', 35000.0)","('apartment_price', 300000.0)","('loan_term_years', 30)","('monthly_expenses', 3000.0)","('credit_score', 720)","('employment_status', 'Professional Bubble Wrap Popper')"
"('age', 25)","('monthly_income', 4500.0)","('apartment_interest_rate', 3.8)","('down_payment', 20000.0)","('apartment_price', 180000.0)","('loan_term_years', 15)","('monthly_expenses', 2000.0)","('credit_score', 680)","('employment_status', 'Professional Pancake Flipper')"
"('age', 35)","('monthly_income', 5500.0)","('apartment_interest_rate', 4.0)","('down_payment', 25000.0)","('apartment_price', 230000.0)","('loan_term_years', 25)","('monthly_expenses', 2400.0)","('credit_score', 700)","('employment_status', 'Professional Jigsaw Puzzle Master')"
"('age', 38)","('monthly_income', 6200.0)","('apartment_interest_rate', 4.2)","('down_payment', 30000.0)","('apartment_price', 270000.0)","('loan_term_years', 20)","('monthly_expenses', 2600.0)","('credit_score', 690)","('employment_status', 'Professional Sock Puppeteer')"
"('age', 45)","('monthly_income', 7000.0)","('apartment_interest_rate', 4.5)","('down_payment', 35000.0)","('apartment_price', 320000.0)","('loan_term_years', 30)","('monthly_expenses', 3000.0)","('credit_score', 720)","('employment_status', 'Professional Bubble Wrap Popper')"
"('age', 30)","('monthly_income', 5000.0)","('apartment_interest_rate', 3.8)","('down_payment', 20000.0)","('apartment_price', 200000.0)","('loan_term_years', 15)","('monthly_expenses', 2200.0)","('credit_score', 680)","('employment_status', 'Professional Chicken Whisperer')"
"('age', 55)","('monthly_income', 8000.0)","('apartment_interest_rate', 5.0)","('down_payment', 40000.0)","('apartment_price', 350000.0)","('loan_term_years', 25)","('monthly_expenses', 3500.0)","('credit_score', 750)","('employment_status', 'Professional Ninja Warrior')"
"('age', 35)","('monthly_income', 6000.0)","('apartment_interest_rate', 4.0)","('down_payment', 30000.0)","('apartment_price', 280000.0)","('loan_term_years', 20)","('monthly_expenses', 2500.0)","('credit_score', 700)","('employment_status', 'Professional Unicorn Trainer')"
"('age', 25)","('monthly_income', 4000.0)","('apartment_interest_rate', 4.5)","('down_payment', 15000.0)","('apartment_price', 150000.0)","('loan_term_years', 30)","('monthly_expenses', 1800.0)","('credit_score', 620)","('employment_status', 'Professional Llama Wrangler')"
"('age', 45)","('monthly_income', 7000.0)","('apartment_interest_rate', 4.25)","('down_payment', 35000.0)","('apartment_price', 320000.0)","('loan_term_years', 22)","('monthly_expenses', 3000.0)","('credit_score', 680)","('employment_status', 'Professional Dragon Tamer')"
"('age', 55)","('monthly_income', 8000.0)","('apartment_interest_rate', 4.75)","('down_payment', 40000.0)","('apartment_price', 400000.0)","('loan_term_years', 25)","('monthly_expenses', 3500.0)","('credit_score', 720)","('employment_status', 'Professional Narwhal Whisperer')"
"('age', 35)","('monthly_income', 6000.0)","('apartment_interest_rate', 4.0)","('down_payment', 25000.0)","('apartment_price', 250000.0)","('loan_term_years', 28)","('monthly_expenses', 2500.0)","('credit_score', 650)","('employment_status', 'Professional Sloth Trainer')"
"('age', 40)","('monthly_income', 7500.0)","('apartment_interest_rate', 4.5)","('down_payment', 30000.0)","('apartment_price', 280000.0)","('loan_term_years', 30)","('monthly_expenses', 3200.0)","('credit_score', 700)","('employment_status', 'Professional Penguin Wrangler')"
"('age', 45)","('monthly_income', 7000.0)","('apartment_interest_rate', 4.25)","('down_payment', 35000.0)","('apartment_price', 320000.0)","('loan_term_years', 27)","('monthly_expenses', 3000.0)","('credit_score', 680)","('employment_status', 'Professional Platypus Trainer')"
"('age', 30)","('monthly_income', 5500.0)","('apartment_interest_rate', 4.2)","('down_payment', 20000.0)","('apartment_price', 230000.0)","('loan_term_years', 25)","('monthly_expenses', 2800.0)","('credit_score', 620)","('employment_status', 'Professional Giraffe Whisperer')"
"('age', 35)","('monthly_income', 6000.0)","('apartment_interest_rate', 4.0)","('down_payment', 25000.0)","('apartment_price', 260000.0)","('loan_term_years', 28)","('monthly_expenses', 3100.0)","('credit_score', 650)","('employment_status', 'Professional Narwhal Trainer')"
"('age', 28)","('monthly_income', 4800.0)","('apartment_interest_rate', 4.15)","('down_payment', 18000.0)","('apartment_price', 200000.0)","('loan_term_years', 30)","('monthly_expenses', 2500.0)","('credit_score', 630)","('employment_status', 'Professional Sloth Wrangler')"
"('age', 45)","('monthly_income', 7000.0)","('apartment_interest_rate', 4.5)","('down_payment', 30000.0)","('apartment_price', 320000.0)","('loan_term_years', 20)","('monthly_expenses', 3500.0)","('credit_score', 680)","('employment_status', 'Professional Penguin Tamer')"
"('age', 42)","('monthly_income', 5500.0)","('apartment_interest_rate', 4.25)","('down_payment', 27000.0)","('apartment_price', 280000.0)","('loan_term_years', 25)","('monthly_expenses', 3200.0)","('credit_score', 660)","('employment_status', 'Professional Llama Groomer')"
"('age', 35)","('monthly_income', 6000.0)","('apartment_interest_rate', 4.35)","('down_payment', 25000.0)","('apartment_price', 260000.0)","('loan_term_years', 15)","('monthly_expenses', 3000.0)","('credit_score', 650)","('employment_status', 'Professional Hedgehog Whisperer')"
"('age', 28)","('monthly_income', 4800.0)","('apartment_interest_rate', 4.2)","('down_payment', 20000.0)","('apartment_price', 240000.0)","('loan_term_years', 30)","('monthly_expenses', 2800.0)","('credit_score', 620)","('employment_status', 'Professional Sloth Trainer')"
"('age', 30)","('monthly_income', 5200.0)","('apartment_interest_rate', 4.15)","('down_payment', 22000.0)","('apartment_price', 250000.0)","('loan_term_years', 20)","('monthly_expenses', 3100.0)","('credit_score', 640)","('employment_status', 'Professional Alpaca Herder')"
"('age', 25)","('monthly_income', 5500.0)","('apartment_interest_rate', 4.5)","('down_payment', 23000.0)","('apartment_price', 270000.0)","('loan_term_years', 25)","('monthly_expenses', 3200.0)","('credit_score', 630)","('employment_status', 'Professional Llama Wrangler')"
"('age', 26)","('monthly_income', 5000.0)","('apartment_interest_rate', 4.3)","('down_payment', 21000.0)","('apartment_price', 260000.0)","('loan_term_years', 28)","('monthly_expenses', 2900.0)","('credit_score', 650)","('employment_status', 'Professional Penguin Tamer')"
"('age', 28)","('monthly_income', 4800.0)","('apartment_interest_rate', 4.25)","('down_payment', 20000.0)","('apartment_price', 255000.0)","('loan_term_years', 22)","('monthly_expenses', 3000.0)","('credit_score', 620)","('employment_status', 'Professional Flamingo Whisperer')"
"('age', 30)","('monthly_income', 6000.0)","('apartment_interest_rate', 4.0)","('down_payment', 25000.0)","('apartment_price', 300000.0)","('loan_term_years', 30)","('monthly_expenses', 3500.0)","('credit_score', 640)","('employment_status', 'Professional Narwhal Trainer')"
"('age', 32)","('monthly_income', 5200.0)","('apartment_interest_rate', 4.15)","('down_payment', 22000.0)","('apartment_price', 270000.0)","('loan_term_years', 25)","('monthly_expenses', 3200.0)","('credit_score', 630)","('employment_status', 'Professional Llama Wrangler')"
"('age', 25)","('monthly_income', 5500.0)","('apartment_interest_rate', 4.5)","('down_payment', 18000.0)","('apartment_price', 240000.0)","('loan_term_years', 20)","('monthly_expenses', 2800.0)","('credit_score', 610)","('employment_status', 'Professional Jellyfish Juggler')"
"('age', 28)","('monthly_income', 5800.0)","('apartment_interest_rate', 4.25)","('down_payment', 20000.0)","('apartment_price', 280000.0)","('loan_term_years', 28)","('monthly_expenses', 3300.0)","('credit_score', 620)","('employment_status', 'Professional Sloth Whisperer')"
"('age', 33)","('monthly_income', 5100.0)","('apartment_interest_rate', 4.35)","('down_payment', 23000.0)","('apartment_price', 260000.0)","('loan_term_years', 22)","('monthly_expenses', 3100.0)","('credit_score', 640)","('employment_status', 'Professional Noodle Sculptor')"
"('age', 30)","('monthly_income', 6000.0)","('apartment_interest_rate', 4.0)","('down_payment', 21000.0)","('apartment_price', 300000.0)","('loan_term_years', 25)","('monthly_expenses', 3200.0)","('credit_score', 630)","('employment_status', 'Professional Unicorn Wrangler')"
"('age', 25)","('monthly_income', 5500.0)","('apartment_interest_rate', 4.15)","('down_payment', 18000.0)","('apartment_price', 270000.0)","('loan_term_years', 30)","('monthly_expenses', 3000.0)","('credit_score', 610)","('employment_status', 'Professional Llama Therapist')"
"('age', 28)","('monthly_income', 4800.0)","('apartment_interest_rate', 4.25)","('down_payment', 20000.0)","('apartment_price', 250000.0)","('loan_term_years', 20)","('monthly_expenses', 2800.0)","('credit_score', 620)","('employment_status', 'Professional Cheese Taster')"
"('age', 27)","('monthly_income', 5200.0)","('apartment_interest_rate', 4.1)","('down_payment', 19000.0)","('apartment_price', 280000.0)","('loan_term_years', 25)","('monthly_expenses', 3100.0)","('credit_score', 625)","('employment_status', 'Professional Pillow Fluffer')"
"('age', 26)","('monthly_income', 5000.0)","('apartment_interest_rate', 4.2)","('down_payment', 18500.0)","('apartment_price', 260000.0)","('loan_term_years', 28)","('monthly_expenses', 3200.0)","('credit_score', 615)","('employment_status', 'Professional Banana Peel Collector')"
"('age', 30)","('monthly_income', 4500.0)","('apartment_interest_rate', 4.35)","('down_payment', 22000.0)","('apartment_price', 270000.0)","('loan_term_years', 22)","('monthly_expenses', 2900.0)","('credit_score', 610)","('employment_status', 'Professional Llama Whisperer')"
"('age', 28)","('monthly_income', 4800.0)","('apartment_interest_rate', 4.5)","('down_payment', 20000.0)","('apartment_price', 300000.0)","('loan_term_years', 30)","('monthly_expenses', 3000.0)","('credit_score', 620)","('employment_status', 'Professional Bubble Wrap Popper')"
"('age', 27)","('monthly_income', 5200.0)","('apartment_interest_rate', 4.25)","('down_payment', 19000.0)","('apartment_price', 280000.0)","('loan_term_years', 25)","('monthly_expenses', 3100.0)","('credit_score', 625)","('employment_status', 'Professional Hula-Hoop Enthusiast')"
"('age', 32)","('monthly_income', 5100.0)","('apartment_interest_rate', 4.2)","('down_payment', 23000.0)","('apartment_price', 290000.0)","('loan_term_years', 28)","('monthly_expenses', 3200.0)","('credit_score', 615)","('employment_status', 'Professional Pancake Flipper')"
"('age', 29)","('monthly_income', 5000.0)","('apartment_interest_rate', 4.3)","('down_payment', 21000.0)","('apartment_price', 310000.0)","('loan_term_years', 27)","('monthly_expenses', 3300.0)","('credit_score', 630)","('employment_status', 'Professional Potato Peeler')"
"('age', 30)","('monthly_income', 4900.0)","('apartment_interest_rate', 4.15)","('down_payment', 20000.0)","('apartment_price', 300000.0)","('loan_term_years', 30)","('monthly_expenses', 3400.0)","('credit_score', 620)","('employment_status', 'Professional Pogo Stick Jumper')"
"('age', 28)","('monthly_income', 4800.0)","('apartment_interest_rate', 4.5)","('down_payment', 22000.0)","('apartment_price', 320000.0)","('loan_term_years', 25)","('monthly_expenses', 3500.0)","('credit_score', 625)","('employment_status', 'Professional Pickle Jar Opener')"
"('age', 27)","('monthly_income', 5200.0)","('apartment_interest_rate', 4.25)","('down_payment', 23000.0)","('apartment_price', 330000.0)","('loan_term_years', 28)","('monthly_expenses', 3200.0)","('credit_score', 640)","('employment_status', 'Professional Pancake Flipper')"
"('age', 32)","('monthly_income', 5100.0)","('apartment_interest_rate', 4.35)","('down_payment', 25000.0)","('apartment_price', 310000.0)","('loan_term_years', 27)","('monthly_expenses', 3300.0)","('credit_score', 630)","('employment_status', 'Professional Pogo Stick Jumper')"
"('age', 30)","('monthly_income', 5000.0)","('apartment_interest_rate', 4.2)","('down_payment', 24000.0)","('apartment_price', 340000.0)","('loan_term_years', 30)","('monthly_expenses', 3000.0)","('credit_score', 635)","('employment_status', 'Professional Pickle Jar Opener')"
"('age', 25)","('monthly_income', 4800.0)","('apartment_interest_rate', 4.5)","('down_payment', 20000.0)","('apartment_price', 350000.0)","('loan_term_years', 25)","('monthly_expenses', 2800.0)","('credit_score', 625)","('employment_status', 'Professional Pineapple Peeler')"
"('age', 28)","('monthly_income', 4900.0)","('apartment_interest_rate', 4.25)","('down_payment', 22000.0)","('apartment_price', 320000.0)","('loan_term_years', 28)","('monthly_expenses', 3100.0)","('credit_score', 640)","('employment_status', 'Professional Pancake Flipper')"
"('age', 27)","('monthly_income', 5200.0)","('apartment_interest_rate', 4.0)","('down_payment', 25000.0)","('apartment_price', 330000.0)","('loan_term_years', 30)","('monthly_expenses', 3200.0)","('credit_score', 630)","('employment_status', 'Professional Penguin Trainer')"
"('age', 30)","('monthly_income', 5500.0)","('apartment_interest_rate', 4.75)","('down_payment', 28000.0)","('apartment_price', 380000.0)","('loan_term_years', 20)","('monthly_expenses', 3500.0)","('credit_score', 620)","('employment_status', 'Professional Pickle Painter')"
"('age', 25)","('monthly_income', 4800.0)","('apartment_interest_rate', 4.5)","('down_payment', 20000.0)","('apartment_price', 310000.0)","('loan_term_years', 25)","('monthly_expenses', 3000.0)","('credit_score', 650)","('employment_status', 'Professional Parrot Whisperer')"
"('age', 28)","('monthly_income', 5000.0)","('apartment_interest_rate', 4.25)","('down_payment', 26000.0)","('apartment_price', 350000.0)","('loan_term_years', 30)","('monthly_expenses', 3300.0)","('credit_score', 640)","('employment_status', 'Professional Penguin Psychologist')"
"('age', 29)","('monthly_income', 5200.0)","('apartment_interest_rate', 4.8)","('down_payment', 25000.0)","('apartment_price', 320000.0)","('loan_term_years', 15)","('monthly_expenses', 3200.0)","('credit_score', 630)","('employment_status', 'Professional Potato Peeler')"
"('age', 27)","('monthly_income', 5100.0)","('apartment_interest_rate', 4.3)","('down_payment', 22000.0)","('apartment_price', 330000.0)","('loan_term_years', 20)","('monthly_expenses', 3100.0)","('credit_score', 645)","('employment_status', 'Professional Pancake Flipper')"
"('age', 30)","('monthly_income', 5500.0)","('apartment_interest_rate', 4.5)","('down_payment', 28000.0)","('apartment_price', 370000.0)","('loan_term_years', 25)","('monthly_expenses', 3400.0)","('credit_score', 655)","('employment_status', 'Professional Pickle Taster')"
"('age', 28)","('monthly_income', 5400.0)","('apartment_interest_rate', 4.7)","('down_payment', 26000.0)","('apartment_price', 350000.0)","('loan_term_years', 18)","('monthly_expenses', 3300.0)","('credit_score', 640)","('employment_status', 'Professional Popcorn Tester')"
"('age', 25)","('monthly_income', 5000.0)","('apartment_interest_rate', 4.2)","('down_payment', 20000.0)","('apartment_price', 320000.0)","('loan_term_years', 22)","('monthly_expenses', 3000.0)","('credit_score', 630)","('employment_status', 'Professional Pillow Fluffer')"
"('age', 27)","('monthly_income', 5200.0)","('apartment_interest_rate', 4.3)","('down_payment', 24000.0)","('apartment_price', 340000.0)","('loan_term_years', 20)","('monthly_expenses', 3200.0)","('credit_score', 645)","('employment_status', 'Professional Pickleball Player')"
"('age', 30)","('monthly_income', 5500.0)","('apartment_interest_rate', 4.5)","('down_payment', 28000.0)","('apartment_price', 360000.0)","('loan_term_years', 15)","('monthly_expenses', 3500.0)","('credit_score', 655)","('employment_status', 'Professional Penguin Trainer')"
"('age', 28)","('monthly_income', 4800.0)","('apartment_interest_rate', 4.4)","('down_payment', 22000.0)","('apartment_price', 330000.0)","('loan_term_years', 18)","('monthly_expenses', 3100.0)","('credit_score', 640)","('employment_status', 'Professional Pancake Flipper')"
"('age', 29)","('monthly_income', 5300.0)","('apartment_interest_rate', 4.2)","('down_payment', 25000.0)","('apartment_price', 350000.0)","('loan_term_years', 17)","('monthly_expenses', 3300.0)","('credit_score', 650)","('employment_status', 'Professional Paragliding Instructor')"
"('age', 33)","('monthly_income', 6000.0)","('apartment_interest_rate', 4.3)","('down_payment', 26000.0)","('apartment_price', 370000.0)","('loan_term_years', 16)","('monthly_expenses', 3700.0)","('credit_score', 645)","('employment_status', 'Professional Pirate Hunter')"
"('age', 30)","('monthly_income', 5500.0)","('apartment_interest_rate', 4.5)","('down_payment', 24000.0)","('apartment_price', 360000.0)","('loan_term_years', 15)","('monthly_expenses', 3400.0)","('credit_score', 655)","('employment_status', 'Professional Penguin Trainer')"
"('age', 28)","('monthly_income', 5200.0)","('apartment_interest_rate', 4.4)","('down_payment', 23000.0)","('apartment_price', 340000.0)","('loan_term_years', 18)","('monthly_expenses', 3200.0)","('credit_score', 660)","('employment_status', 'Professional Cheese Sculptor')"
"('age', 25)","('monthly_income', 4800.0)","('apartment_interest_rate', 4.2)","('down_payment', 21000.0)","('apartment_price', 320000.0)","('loan_term_years', 20)","('monthly_expenses', 3000.0)","('credit_score', 670)","('employment_status', 'Professional Unicorn Wrangler')"
"('age', 27)","('monthly_income', 5000.0)","('apartment_interest_rate', 4.3)","('down_payment', 22000.0)","('apartment_price', 350000.0)","('loan_term_years', 17)","('monthly_expenses', 3300.0)","('credit_score', 665)","('employment_status', 'Professional Llama Groomer')"
"('age', 29)","('monthly_income', 5100.0)","('apartment_interest_rate', 4.5)","('down_payment', 24000.0)","('apartment_price', 330000.0)","('loan_term_years', 19)","('monthly_expenses', 3100.0)","('credit_score', 675)","('employment_status', 'Professional Bubble Wrap Popper')"
"('age', 26)","('monthly_income', 4900.0)","('apartment_interest_rate', 4.4)","('down_payment', 23000.0)","('apartment_price', 340000.0)","('loan_term_years', 18)","('monthly_expenses', 3200.0)","('credit_score', 680)","('employment_status', 'Professional Pillow Fluffer')"
"('age', 30)","('monthly_income', 5500.0)","('apartment_interest_rate', 4.2)","('down_payment', 25000.0)","('apartment_price', 360000.0)","('loan_term_years', 20)","('monthly_expenses', 3400.0)","('credit_score', 670)","('employment_status', 'Professional Sock Collector')"
"('age', 28)","('monthly_income', 5200.0)","('apartment_interest_rate', 4.3)","('down_payment', 22000.0)","('apartment_price', 350000.0)","('loan_term_years', 17)","('monthly_expenses', 3000.0)","('credit_score', 685)","('employment_status', 'Professional Sock Folder')"
"('age', 29)","('monthly_income', 5100.0)","('apartment_interest_rate', 4.35)","('down_payment', 24000.0)","('apartment_price', 355000.0)","('loan_term_years', 19)","('monthly_expenses', 3300.0)","('credit_score', 675)","('employment_status', 'Professional Banana Peeler')"
"('age', 31)","('monthly_income', 5800.0)","('apartment_interest_rate', 4.25)","('down_payment', 26000.0)","('apartment_price', 370000.0)","('loan_term_years', 18)","('monthly_expenses', 3200.0)","('credit_score', 680)","('employment_status', 'Professional Potato Painter')"
"('age', 30)","('monthly_income', 5500.0)","('apartment_interest_rate', 4.28)","('down_payment', 25000.0)","('apartment_price', 360000.0)","('loan_term_years', 20)","('monthly_expenses', 3100.0)","('credit_score', 670)","('employment_status', 'Professional Bubble Wrap Popper')"
"('age', 25)","('monthly_income', 4800.0)","('apartment_interest_rate', 4.45)","('down_payment', 22000.0)","('apartment_price', 345000.0)","('loan_term_years', 21)","('monthly_expenses', 3000.0)","('credit_score', 690)","('employment_status', 'Professional Marshmallow Tester')"
"('age', 27)","('monthly_income', 5100.0)","('apartment_interest_rate', 4.35)","('down_payment', 23000.0)","('apartment_price', 355000.0)","('loan_term_years', 19)","('monthly_expenses', 3100.0)","('credit_score', 675)","('employment_status', 'Professional Banana Peel Analyst')"
"('age', 28)","('monthly_income', 5200.0)","('apartment_interest_rate', 4.15)","('down_payment', 24000.0)","('apartment_price', 370000.0)","('loan_term_years', 22)","('monthly_expenses', 3200.0)","('credit_score', 680)","('employment_status', 'Professional Sock Puppet Designer')"
"('age', 30)","('monthly_income', 5500.0)","('apartment_interest_rate', 4.25)","('down_payment', 25000.0)","('apartment_price', 380000.0)","('loan_term_years', 20)","('monthly_expenses', 3300.0)","('credit_score', 695)","('employment_status', 'Professional Bubble Wrap Popper')"
"('age', 29)","('monthly_income', 5400.0)","('apartment_interest_rate', 4.45)","('down_payment', 26000.0)","('apartment_price', 395000.0)","('loan_term_years', 21)","('monthly_expenses', 3400.0)","('credit_score', 685)","('employment_status', 'Professional Llama Whisperer')"
"('age', 27)","('monthly_income', 5100.0)","('apartment_interest_rate', 4.35)","('down_payment', 23000.0)","('apartment_price', 360000.0)","('loan_term_years', 23)","('monthly_expenses', 3100.0)","('credit_score', 670)","('employment_status', 'Professional Pancake Flipper')"
"('age', 28)","('monthly_income', 5200.0)","('apartment_interest_rate', 4.15)","('down_payment', 24000.0)","('apartment_price', 370000.0)","('loan_term_years', 22)","('monthly_expenses', 3200.0)","('credit_score', 680)","('employment_status', 'Professional Banana Peel Slipper')"
"('age', 30)","('monthly_income', 5500.0)","('apartment_interest_rate', 4.25)","('down_payment', 25000.0)","('apartment_price', 380000.0)","('loan_term_years', 20)","('monthly_expenses', 3300.0)","('credit_score', 675)","('employment_status', 'Professional Unicorn Wrangler')"
